Original Name,Processed Name
Freeze Dried Pancreas  (Porcine)  ,pancreas
Freeze Dried Pancreas  (Porcine)  ,pancreas
Bile Extract  (Porcine and/or Bovine)  ,bile
Lipase  (Porcine)  ,lipase
Bile Extract  (Porcine and/or Bovine)  ,bile
Lipase  (Porcine)  ,lipase
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Thymus Extract  (Porcine)  ,thymus
Thymus Extract  (Porcine)  ,thymus
Thymus Extract  (Porcine)  ,thymus
Placenta Extract  (Bovine)  ,placenta
Placenta Extract  (Bovine)  ,placenta
Brain Extract   (from porcine)  ,brain
Eye Extract  (porcine)  ,eye
Brain Extract   (from porcine)  ,brain
Eye Extract  (porcine)  ,eye
Spleen Extract  (Porcine)  ,spleen
Spleen Extract  (Porcine)  ,spleen
Stomach Extract  (Porcine)  ,stomach
Stomach Extract  (Porcine)  ,stomach
Stomach Extract  (Porcine)  ,stomach
Bile Extract  (Porcine and/or Bovine)  ,bile
Bile Extract  (Porcine and/or Bovine)  ,bile
Brain Extract   (from porcine)  ,brain
Brain Extract   (from porcine)  ,brain
Brain Extract   (from porcine)  ,brain
Thymus Extract  (Porcine)  ,thymus
Thymus Extract  (Porcine)  ,thymus
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Whole Pituitary Substance  (Bovine)  ,whole pituitary substance
Adrenal Substance  (Bovine)  ,adrenal substance
Orchic Substance  (Bovine)  ,orchic substance
Parathyroid Substance  (Bovine)  ,parathyroid substance
Abgland Adrenal Cortex   ,abgland adrenal cortex
Thyroid   ,thyroid
Pituitary   ,pituitary
Hypothalamus   (abgland {Hypothalamus})  ,hypothalamus
Ox bile extract  (bovine)  ,ox bile
Thymus   (abgland {Thymus})  ,thymus
Bone marrow   ,bone marrow
Lymph   (abgland {Lymph})  ,lymph
Spleen   (abgland {Spleen})  ,spleen
|Pituitary  (anterior, whole)  |,pituitary
Hypothalamus   (abgland {Hypothalamus})  ,hypothalamus
Pineal gland   ,pineal gland
Pancreatin 10X  (Providing:)  ,pancreatin x
Liver  (bovine)  ,liver
Ox bile  (bovine)  ,ox bile
|Deer Velvet Antler extract  (Cervus Nippon)  (standardized IGF-1, and IGF-2)  |,deer velvet antler
Deer Collagen extract   ,deer collagen
Green Lipped Mussel   ,green lipped mussel
Bovine Colostrum   ,bovine colostrum
Velvet Deer Antler   ,velvet deer antler
Neonatal Liver Concentrate   (bovine)  ,neonatal liver
Velvet Deer Antler  (from living Elk)  ,velvet deer antler
Ox Bile extract   ,ox bile
Ox Bile extract   ,ox bile
Raw Pancreas Concentrate   (porcine)  ,raw pancreas
Neonatal Liver concentrate   (bovine)  ,neonatal liver
Neonatal Thymus concentrate   (bovine)  ,neonatal thymus
Neonatal Adrenal complex concentrate   (bovine)  ,neonatal adrenal
Lamb Pituitary/Hypothalamus concentrate   (ovine)  ,lamb pituitary/hypothalamus
Neonatal Heart   (from bovine)  ,neonatal heart
Lamb Pituitary/Hypothalamus complex   (from ovine)  ,lamb pituitary/hypothalamus
Neonatal Adrenal complex   (from bovine)  ,neonatal adrenal
Neonatal Pancreas   (from bovine)  ,neonatal pancreas
Neonatal Heart   (from bovine)  ,neonatal heart
Lamb Pituitary/Hypothalamus complex   (from ovine)  ,lamb pituitary/hypothalamus
Neonatal Adrenal complex   (from bovine)  ,neonatal adrenal
Neonatal Pancreas   (from bovine)  ,neonatal pancreas
Neonatal Thymus   (bovine)  ,neonatal thymus
Neonatal Spleen   (bovine)  ,neonatal spleen
Lamb Brain   (ovine)  ,lamb brain
Neonatal Liver   (bovine)  ,neonatal liver
Neonatal Pancreas   (bovine)  ,neonatal pancreas
Neonatal Liver   (bovine)  ,neonatal liver
Lamb Brain   (ovine)  ,lamb brain
Lamb intestine   (ovine)  ,lamb intestine
Neonatal Duodenum   (bovine)  ,neonatal duodenum
Neonatal Pancreas   (bovine)  ,neonatal pancreas
Neonatal Liver   (bovine)  ,neonatal liver
Lamb Brain   (ovine)  ,lamb brain
Lamb intestine   (ovine)  ,lamb intestine
Neonatal Duodenum   (bovine)  ,neonatal duodenum
Neonatal Thymus   (bovine)  ,neonatal thymus
Neonatal Spleen   (bovine)  ,neonatal spleen
Neonatal Liver   (bovine)  ,neonatal liver
Neonatal Pancreas   (bovine)  ,neonatal pancreas
Parotid   (bovine)  ,parotid
Placenta   (bovine)  ,placenta
Neonatal Lymph Tissue   (bovine)  ,neonatal lymph tissue
Neonatal Thymus   (bovine)  ,neonatal thymus
Neonatal Spleen   (bovine)  ,neonatal spleen
Neonatal Liver   (bovine)  ,neonatal liver
Neonatal Pancreas   (bovine)  ,neonatal pancreas
Parotid   (bovine)  ,parotid
Placenta   (bovine)  ,placenta
Neonatal Lymph Tissue   (bovine)  ,neonatal lymph tissue
Neonatal Heart   (bovine)  ,neonatal heart
Neonatal Kidney   (bovine)  ,neonatal kidney
Neonatal Liver   (bovine)  ,neonatal liver
Neonatal Spleen   (bovine)  ,neonatal spleen
Neonatal Liver   (bovine)  ,neonatal liver
Lamb Brain Concentrate   (ovine)  ,lamb brain
Ovarian Concentrate   (from bovine)  ,ovarian
Neonatal Adrenal Complex Concentrate   (from bovine)  ,neonatal adrenal
Neonatal Thymus Concentrate   (from bovine)  ,neonatal thymus
Neonatal Spleen Concentrate   (from bovine)  ,neonatal spleen
Neonatal Heart Concentrate   (bovine)  ,neonatal heart
Neonatal Kidney Concentrate   (from bovine)  ,neonatal kidney
Neonatal Liver Concentrate   (from bovine)  ,neonatal liver
Neonatal Adrenal Complex Concentrate   (from bovine)  ,neonatal adrenal
Neonatal Thymus Concentrate   (from bovine)  ,neonatal thymus
Neonatal Spleen Concentrate   (from bovine)  ,neonatal spleen
Ovarian Concentrate   (from bovine)  ,ovarian
Neonatal Pancreas Concentrate   (from bovine)  ,neonatal pancreas
Parotid Concentrate   (from bovine)  ,parotid
Neonatal Thymus Concentrate   (from bovine)  ,neonatal thymus
Neonatal Spleen Concentrate   (from bovine)  ,neonatal spleen
Lamb Pituitary/Hypothalamus Complex Concentrate   (from ovine)  ,lamb pituitary/hypothalamus
Lamb Pituitary/Hypothalamus Complex Concentrate   (from ovine)  ,lamb pituitary/hypothalamus
Neonatal Spleen Concentrate   (from bovine)  ,neonatal spleen
Neonatal Thymus Concentrate   (from bovine)  ,neonatal thymus
Neonatal Thymus Concentrate   (from bovine)  ,neonatal thymus
Neonatal Bovine Trachea Concentrate   ,neonatal bovine trachea
Ovarian Tissue   (bovine)  ,ovarian tissue
Uterine Tissue   (bovine)  ,uterine tissue
Ovarian tissue   (bovine)  ,ovarian tissue
Uterine tissue   (bovine)  ,uterine tissue
Ovarian Tissue   (bovine)  ,ovarian tissue
Uterine Tissue   (bovine)  ,uterine tissue
Porcine Glandular Concentrate   ,porcine glandular
Porcine Glandular Concentrate   ,porcine glandular
Porcine Glandular Concentrate   ,porcine glandular
Lamb Intestine Concentrate   ,lamb intestine
Neonatal Spleen   (bovine)  ,neonatal spleen
Neonatal Heart   (bovine)  ,neonatal heart
Neonatal Pancreas   (bovine)  ,neonatal pancreas
