Original Name,Processed Name
ATPro(TM) Matrix   <p class='indent01b' data-ingid='6971'>Calcium Pyruvate;</p><p class='indent01b' data-ingid='4160'>Sodium Phosphate;</p><p class='indent01b' data-ingid='4111'>Potassium Phosphate;</p><p class='indent01b' data-ingid='34202'>Ribose;</p><p class='indent01b' data-ingid='15448'>adenosine;</p>,atpro matrix calcium pyruvate sodium phosphate potassium phosphate ribose adenosine
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
DynaLux Blend(TM)   ,dynalux
NeuroForce Blend(TM)   ,neuroforce
Euthermic Matrix(TM)   ,euthermic matrix
Bliss Activator(TM)   ,bliss activator
|Performance Energy Complex   (Green tea extract, Taurine, L-lyrosine, panax ginseng, ginkgo biloba, leucine, isoleaucine, and Valine)  |,performance energy
Men's Health Complex   ,men's health
Proprietary Herbal Support Blend   ,proprietary herbal support
Hyaluronic Acid   (from Premium Chicken Sternum Type II Collagen)  ,hyaluronic acid
FLEXICOL(TM) Proprietary Blend  (Containing:)  <p class='indent01b' data-ingid='28476'>premium Chicken Sternum Type II Collagen (naturally occurring Chondroitin Sulfate);</p><p class='indent01b' data-ingid='24270'>boron glycinate;</p><p class='indent01b' data-ingid='28728'>Boswellia serrata extract (Boswellia serrata);</p><p class='indent01b' data-ingid='16117'>Grape Seed Extract (seed);</p><p class='indent01b' data-ingid='20288'>White Willow bark extract (bark);</p>,flexicol proprietary
Hyaluronic Acid   (as Sodium Hyaluronate)  ,hyaluronic acid
Hyaluronic Acid   (as Sodium Hyaluronate)  ,hyaluronic acid
Hyaluronic Acid   (from Premium Chicken Sternum Type II Collagen)  ,hyaluronic acid
|FLEXICOL(TM) Proprietary Blend   (Containing premium Chicken Sternum Type II Collagen (naturally occurring Chondroitin Sulfate), Boron Glycinate, Boswellia serrata extract (Boswellia serrata), Grape seed extract (Seed), and White WIllow bark extract (bark))  |,flexicol proprietary
Proprietary Herbal Support Blend   ,proprietary herbal support
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
Calories from Fat   ,calories from fat
Calories   ,calories
