Original Name,Processed Name
Copper   (as copper amino acid chelate)  ,copper
Molybdenum   (as molybdenum amino acid chelate)  ,molybdenum
Boron   (as boron amino acid chelate)  ,boron
Vanadium   (as vanadium amino acid chelate)  ,vanadium
Copper   (as copper amino acid chelate)  ,copper
Copper   (as copper amino acid chelate)  ,copper
Copper   (as copper amino acid chelate)  ,copper
Molybdenum   (as molybdenum amino acid chelate)  ,molybdenum
L-Glycine   ,l-glycine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
BCAA   ,bcaa
Leucine   ,leucine
Isoleucine   ,isoleucine
Valine   ,valine
Lysine   ,lysine
Methionine   ,methionine
Threonine   ,threonine
Phenylalanine   ,phenylalanine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cysteine   ,cysteine
Glutamic Acid   ,glutamic acid
Glutamine   ,glutamine
Glycine   ,glycine
Proline   ,proline
Serine   ,serine
Tyrosine   ,tyrosine
Selenocysteine   ,selenocysteine
L-Glycine   ,l-glycine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
BCAA   ,bcaa
Leucine   ,leucine
Isoleucine   ,isoleucine
Valine   ,valine
Lysine   ,lysine
Methionine   ,methionine
Threonine   ,threonine
Phenylalanine   ,phenylalanine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cysteine   ,cysteine
Glutamic Acid   ,glutamic acid
Glutamine   ,glutamine
Glycine   ,glycine
Proline   ,proline
Serine   ,serine
Tyrosine   ,tyrosine
Selenocysteine   ,selenocysteine
L-Glycine   ,l-glycine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
BCAA   ,bcaa
Leucine   ,leucine
Isoleucine   ,isoleucine
Valine   ,valine
Lysine   ,lysine
Methionine   ,methionine
Threonine   ,threonine
Phenylalanine   ,phenylalanine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cysteine   ,cysteine
Glutamic Acid   ,glutamic acid
Glutamine   ,glutamine
Glycine   ,glycine
Proline   ,proline
Serine   ,serine
Tyrosine   ,tyrosine
Selenocysteine   ,selenocysteine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
L-Glutamine   ,l-glutamine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
L-Glutamine   ,l-glutamine
L-Glutamine   ,l-glutamine
L-Arginine   ,l-arginine
N-Acetyl L-Cysteine   ,n-acetyl l-cysteine
L-Alanyl-L-Glutamine   ,l-alanyl-l-glutamine
Chromium   ({chromium} amino acid chelate)  ,chromium
L-Theanine   ,l-theanine
L-Tyrosine   ,l-tyrosine
DL-Methionine   ,dl-methionine
Chromium   (as chromium amino acid chelate)  ,chromium
Iron   (as Iron Amino Acid Chelate)  ,iron
Magnesium   (as {Magnesium} Amino Acid Chelate)  ,magnesium
Manganese   (as {Manganese} Amino Acid Chelate)  ,manganese
Zinc   (as Zinc Amino Acid Chelate)  ,zinc
Selenium   (as selenium amino acid complex)  ,selenium
Copper   (as copper amino acid chelate)  ,copper
Chromium   (as chromium amino acid chelate)  ,chromium
Molybdenum   (as molybdenum amino acid complex)  ,molybdenum
Boron   (as Boron Amino Acid Complex)  ,boron
Vanadium   (as vanadium amino acid chelate)  ,vanadium
Zinc   (as {Zinc} Amino Acid Chelate)  ,zinc
Selenium   (as {selenium} amino acid complex)  ,selenium
Copper   (as {Copper} Amino Acid Chelate)  ,copper
Manganese   (as {Manganese} Amino Acid Chelate)  ,manganese
Magnesium   (as {Magnesium} Amino Acid Chelate)  ,magnesium
Manganese   (as {Manganese} Amino Acid Chelate)  ,manganese
Iron   (as {Iron} Amino Acid Chelate)  ,iron
Zinc   (as {Zinc} Amino Acid Chelate)  ,zinc
Selenium   (as {selenium} amino acid complex)  ,selenium
Copper   (as {Copper} Amino Acid Chelate)  ,copper
Manganese   (as {Manganese} Amino Acid Chelate)  ,manganese
Chromium   (as {chromium} amino acid chelate)  ,chromium
Potassium   (as {potassium} amino acid complex)  ,potassium
Vanadium   (as {vanadium} amino acid chelate)  ,vanadium
Iron   (as Iron Amino Acid Chelate)  ,iron
Zinc   (as Zinc Amino Acid Chelate)  ,zinc
Copper   (as Copper Amino Acid Chelate)  ,copper
Chromium   (as Chromium Amino Acid Chelate)  ,chromium
Vanadium   (as Vanadium Amino Acid Chelate)  ,vanadium
L-Carnitine Fumarate   ,l-carnitine fumarate
Calcium   (as {calcium} amino acid chelate)  ,calcium
Magnesium   (as {Magnesium} Amino Acid Chelate)  ,magnesium
L-Glutamine   ,l-glutamine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cysteine   ,cysteine
Glutamic Acid   ,glutamic acid
Glutamine   ,glutamine
Glycine   ,glycine
Isoleucine   ,isoleucine
Leucine   ,leucine
Lysine   ,lysine
Methionine   ,methionine
Phenylalanine   ,phenylalanine
Proline   ,proline
Serine   ,serine
Threonine   ,threonine
Tyrosine   ,tyrosine
Valine   ,valine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cysteine   ,cysteine
Glutamic Acid   ,glutamic acid
Glycine   ,glycine
Isoleucine   ,isoleucine
Leucine   ,leucine
Lysine   ,lysine
Methionine   ,methionine
Phenylalanine   ,phenylalanine
Proline   ,proline
Serine   ,serine
Threonine   ,threonine
Tyrosine   ,tyrosine
Valine   ,valine
Alanine   ,alanine
Arginine   ,arginine
Aspartic Acid   ,aspartic acid
Cysteine   ,cysteine
Glutamic Acid   ,glutamic acid
Glycine   ,glycine
Isoleucine   ,isoleucine
Leucine   ,leucine
Lysine   ,lysine
Methionine   ,methionine
Phenylalanine   ,phenylalanine
Proline   ,proline
Serine   ,serine
Threonine   ,threonine
Tyrosine   ,tyrosine
Valine   ,valine
N-Acetyl L-Tyrosine   ,n-acetyl l-tyrosine
N-Acetyl L-Cysteine   ,n-acetyl l-cysteine
Taurine   ,taurine
L-Phenylalanine   ,l-phenylalanine
N-Acetyl L-Tyrosine   ,n-acetyl l-tyrosine
N-Acetly L-Tyrosine   ,n-acetly l-tyrosine
L-Phenylalanine   ,l-phenylalanine
Taurine   ,taurine
L-Theanine   ,l-theanine
L-Arginine   ,l-arginine
L-Arginine AKG 2:1   ,l-arginine akg
L-Citrulline   ,l-citrulline
L-Taurine   ,l-taurine
L-Leucine   ,l-leucine
L-Valine   ,l-valine
L-Isoleucine   ,l-isoleucine
L-Carnitine   ,l-carnitine
Taurine   ,taurine
Citrulline Malate   ,citrulline malate
N-Acetyl L-Tyrosine   ,n-acetyl l-tyrosine
|L-Arginine   (as L-Arginine, L-Arginine alpha-Ketoglutarate)  |,l-arginine
L-Taurine   ,l-taurine
|L-Arginine   (as L-Arginine, L-Arginine alpha-Ketoglutarate)  |,l-arginine
L-Taurine   ,l-taurine
Molybdenum   (as molybdenum amino acid chelate)  ,molybdenum
L-Glutamine   ,l-glutamine
Glutamine Peptides   ,glutamine peptides
Molybdenum   (as molybdenum amino acid chelate)  ,molybdenum
L-Glutamine   ,l-glutamine
Glutamine Peptides   ,glutamine peptides
Molybdenum   (as molybdenum amino acid chelate)  ,molybdenum
L-Glutamine   ,l-glutamine
Glutamine Peptides   ,glutamine peptides
Molybdenum   (as molybdenum amino acid chelate)  ,molybdenum
L-Glutamine   ,l-glutamine
Glutamine Peptides   ,glutamine peptides
L-Glutamine   ,l-glutamine
L-Glutamine   ,l-glutamine
